"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
462,681,763,348,600,500,532,944,"SLC45A4"
2699,4453,4591,2833,3754,3485,3598,5578,"RNF10"
614,800,834,512,704,717,638,898,"ZNF839"
640,1175,1210,508,805,707,743,1349,"ZDHHC6"
95,115,97,130,119,139,134,103,"GRAMD1B"
1655,2712,2627,1463,2406,2117,2069,3392,"RNH1"
2119,4049,4366,2738,2957,3122,2689,5611,"NDUFS1"
870,1377,1771,665,1127,958,895,2115,"RB1CC1"
2399,2616,3369,1994,3191,2581,2673,3829,"ERP44"
1282,1927,1718,1198,1687,1800,1631,2250,"ALAS1"
1475,1273,1444,864,2260,1893,890,1612,"BIRC3"
567,1152,1257,447,695,630,569,1361,"AKAP11"
361,617,648,399,517,547,488,868,"GLRX2"
140,241,226,154,173,166,162,277,"SNAPC1"
1316,2571,2753,1084,1553,1705,1572,3342,"DERA"
5051,8172,8849,4760,6480,6742,6253,11624,"STRAP"
6,21,12,3,7,8,5,15,"ABCC2"
503,748,815,479,697,703,748,1026,"DEF6"
843,1166,1336,799,1293,1173,1243,1715,"PLEKHO1"
638,1102,1292,640,808,902,902,1760,"GCLM"
871,1470,1833,599,1093,980,863,2046,"UBR2"
511,686,641,378,765,516,512,773,"EHD2"
1411,1966,1908,1447,2181,2115,1819,2947,"DEPDC1"
293,624,619,292,383,362,417,760,"CCDC28A"
411,1251,1165,416,577,539,601,1166,"RRAGD"
513,1105,1093,531,687,700,733,1378,"HSF2"
1275,2239,2148,865,1349,1413,1176,2815,"PHF20"
125,167,154,95,150,128,145,220,"HSD17B6"
305,365,311,237,393,411,409,453,"NR1H3"
1746,1639,1379,1204,2339,1882,1386,1559,"TYMP"
1250,2039,1923,1295,1743,1604,1761,2755,"NCAPH2"
1919,2645,2705,1990,2623,2636,2590,3760,"TOMM34"
2337,3844,4041,2100,3088,2816,2729,4715,"SEC63"
